ring   rho 12 seed 1 | 0.976 -> 0.991 (a real one reads 0.998) | drift 0.015 | md 499.6 | small world False | in one piece 1.0 | relations/event 11.99
ring   rho 12 seed 2 | 0.995 -> 0.988 (a real one reads 0.998) | drift -0.007 | md 498.4 | small world False | in one piece 1.0 | relations/event 12.00
ring   rho 12 seed 3 | 1.002 -> 0.981 (a real one reads 0.998) | drift -0.021 | md 500.8 | small world False | in one piece 1.0 | relations/event 12.00
ring   rho 16 seed 1 | 0.976 -> 0.991 (a real one reads 0.998) | drift 0.015 | md 499.6 | small world False | in one piece 1.0 | relations/event 11.99
ring   rho 16 seed 2 | 0.995 -> 0.988 (a real one reads 0.998) | drift -0.007 | md 498.4 | small world False | in one piece 1.0 | relations/event 12.03
ring   rho 16 seed 3 | 1.002 -> 0.981 (a real one reads 0.998) | drift -0.021 | md 500.8 | small world False | in one piece 1.0 | relations/event 12.37
grid3D rho 2 seed 1 | 3.008 -> 3.396 (a real one reads 2.579) | drift 0.388 | md 13.7 | small world False | in one piece 0.471 | relations/event 2.59
grid3D rho 2 seed 2 | 2.962 -> 3.331 (a real one reads 2.579) | drift 0.369 | md 13.5 | small world False | in one piece 0.475 | relations/event 2.58
grid3D rho 2 seed 3 | 2.995 -> 3.295 (a real one reads 2.579) | drift 0.3 | md 13.5 | small world False | in one piece 0.468 | relations/event 2.58
grid3D rho 3 seed 1 | 2.957 -> 3.317 (a real one reads 2.67) | drift 0.36 | md 11.9 | small world False | in one piece 0.649 | relations/event 3.69
grid3D rho 3 seed 2 | 2.904 -> 3.241 (a real one reads 2.67) | drift 0.337 | md 11.8 | small world False | in one piece 0.653 | relations/event 3.68
grid3D rho 3 seed 3 | 2.92 -> 3.252 (a real one reads 2.67) | drift 0.332 | md 12.2 | small world False | in one piece 0.654 | relations/event 3.68
grid3D rho 4 seed 1 | 2.902 -> 3.237 (a real one reads 2.67) | drift 0.335 | md 11.6 | small world False | in one piece 0.824 | relations/event 4.44
grid3D rho 4 seed 2 | 2.906 -> 3.363 (a real one reads 2.67) | drift 0.457 | md 12.0 | small world False | in one piece 0.824 | relations/event 4.44
grid3D rho 4 seed 3 | 2.912 -> 3.283 (a real one reads 2.67) | drift 0.371 | md 11.9 | small world False | in one piece 0.827 | relations/event 4.44
grid3D rho 5 seed 1 | 2.917 -> 3.21 (a real one reads 2.691) | drift 0.293 | md 11.7 | small world False | in one piece 0.99 | relations/event 5.03
grid3D rho 5 seed 2 | 2.96 -> 3.175 (a real one reads 2.691) | drift 0.215 | md 11.8 | small world False | in one piece 0.987 | relations/event 5.04
grid3D rho 5 seed 3 | 2.905 -> 3.311 (a real one reads 2.691) | drift 0.406 | md 11.6 | small world False | in one piece 0.986 | relations/event 5.05
grid3D rho 6 seed 1 | 2.897 -> 3.251 (a real one reads 2.691) | drift 0.354 | md 10.6 | small world False | in one piece 1.0 | relations/event 6.00
grid3D rho 6 seed 2 | 2.915 -> 3.247 (a real one reads 2.691) | drift 0.332 | md 10.6 | small world False | in one piece 1.0 | relations/event 6.00
grid3D rho 6 seed 3 | 2.888 -> 3.169 (a real one reads 2.691) | drift 0.281 | md 10.5 | small world False | in one piece 1.0 | relations/event 6.00
grid3D rho 8 seed 1 | 2.717 -> 3.005 (a real one reads 2.691) | drift 0.288 | md 10.1 | small world False | in one piece 1.0 | relations/event 8.00
grid3D rho 8 seed 2 | 2.721 -> 3.015 (a real one reads 2.691) | drift 0.294 | md 10.1 | small world False | in one piece 1.0 | relations/event 8.00
grid3D rho 8 seed 3 | 2.684 -> 3.089 (a real one reads 2.691) | drift 0.405 | md 10.2 | small world False | in one piece 1.0 | relations/event 8.00
grid3D rho 12 seed 1 | 2.389 -> 2.712 (a real one reads 2.691) | drift 0.323 | md 9.8 | small world False | in one piece 1.0 | relations/event 12.00
grid3D rho 12 seed 2 | 2.387 -> 2.747 (a real one reads 2.691) | drift 0.36 | md 9.8 | small world False | in one piece 1.0 | relations/event 12.00
grid3D rho 12 seed 3 | 2.391 -> 2.698 (a real one reads 2.691) | drift 0.307 | md 9.8 | small world False | in one piece 1.0 | relations/event 12.00
grid3D rho 16 seed 1 | 2.348 -> 2.499 (a real one reads 2.691) | drift 0.151 | md 9.7 | small world True | in one piece 1.0 | relations/event 16.00
grid3D rho 16 seed 2 | 2.341 -> 2.498 (a real one reads 2.691) | drift 0.157 | md 9.7 | small world True | in one piece 1.0 | relations/event 16.00
grid3D rho 16 seed 3 | 2.366 -> 2.589 (a real one reads 2.691) | drift 0.223 | md 9.7 | small world True | in one piece 1.0 | relations/event 16.00
[ring] how fast the gap to a real shape grows, against rho (patterns in one piece only): [(2, 0.009), (3, 0.003), (4, 0.008), (5, -0.0), (6, -0.001), (8, -0.001), (12, -0.006), (16, -0.006)]
[ring] B1 (drift changes sign - a balance point) False
[grid3D] how fast the gap to a real shape grows, against rho (patterns in one piece only): [(2, None), (3, None), (4, None), (5, 0.193), (6, 0.21), (8, 0.217), (12, 0.218), (16, 0.065)]
[grid3D] B1 (drift changes sign - a balance point) False
